county_desc,precinct_abbrv,precinct_desc,reg_active,reg_inactive,reg_other_status,reg_total,party_dem,party_lib,party_rep,party_unaf,party_other,race_asian,race_black,race_aian,race_multiracial,race_other_race,race_nhpi,race_undesignated,race_white,eth_hispanic,eth_not_hispanic,eth_undesignated,gender_female,gender_male,gender_unknown,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75plus,age_under_18,age_unknown,reg_removed,
WATAUGA,09,ELK,615,60,0.0,675.0,96,0,238,281,0,0,6,0,3,0,0,25,641,4,480,191,333,316,26,48,66,61,86,135,172,107,0,0,0.0,0.0
WATAUGA,10,LAUREL CREEK,954,149,0.0,1103.0,195,3,360,396,0,0,4,0,3,10,0,59,1027,13,798,292,522,510,71,108,137,171,154,169,201,163,0,0,0.0,0.0
WATAUGA,11,MEAT CAMP,2175,262,0.0,2437.0,407,6,838,923,1,8,24,3,6,34,0,100,2262,26,1730,681,1173,1138,126,260,366,366,382,336,396,331,0,0,0.0,0.0
WATAUGA,12,BOONE 3,2756,612,0.0,3368.0,763,31,335,1616,11,61,172,10,102,93,3,596,2331,312,1818,1238,1615,1317,436,2634,477,63,50,51,47,46,0,0,0.0,0.0
WATAUGA,13,NEW RIVER I,2275,577,0.0,2852.0,640,13,446,1172,4,36,68,2,34,80,0,245,2387,128,1748,976,1428,1195,229,1040,793,275,199,184,186,175,0,0,0.0,0.0
WATAUGA,14,NEW RIVER II,3053,595,0.0,3648.0,783,26,754,1484,6,43,95,3,27,93,1,251,3135,98,2319,1231,1810,1576,262,879,929,420,366,366,377,311,0,0,0.0,0.0
WATAUGA,15,NEW RIVER III,3607,642,0.0,4249.0,982,19,879,1718,9,56,76,7,36,121,1,329,3623,147,2760,1342,2200,1753,296,1084,928,477,470,429,421,440,0,0,0.0,0.0
WATAUGA,16,NORTH FORK,167,13,0.0,180.0,16,1,79,71,0,0,0,0,0,0,0,6,174,0,121,59,84,88,8,18,30,19,23,28,35,27,0,0,0.0,0.0
WATAUGA,17,SHAWNEEHAW,588,79,0.0,667.0,111,5,234,238,0,3,2,1,3,7,0,25,626,6,459,202,320,320,27,54,72,90,98,104,158,91,0,0,0.0,0.0
WATAUGA,18,STONY FORK,1721,197,0.0,1918.0,257,8,773,682,1,5,11,1,9,18,0,90,1784,26,1372,520,952,875,91,184,322,325,266,290,307,224,0,0,0.0,0.0
WATAUGA,19,WATAUGA,2830,423,0.0,3253.0,542,15,1016,1257,0,10,20,1,13,43,1,155,3010,35,2228,990,1597,1464,192,261,454,406,426,549,654,503,0,0,0.0,0.0
WATAUGA,20,BEECH MOUNTAIN,490,88,0.0,578.0,75,1,206,208,0,0,3,0,2,4,0,34,535,3,336,239,266,271,41,29,53,65,53,130,141,107,0,0,0.0,0.0
WAYNE,01,01,2061,310,0.0,2371.0,484,12,966,598,1,5,427,3,3,108,0,148,1677,90,1633,648,1149,1039,183,213,360,315,331,439,414,299,0,0,0.0,0.0
