county,registered_youth,registered_total
STELLA,189,1896
STONEY CREEK,168,2090
SWEETWATER,451,3946
TOPTON,29,321
TUSQUITTEE,46,688
UNAKA,47,595
VIEWMONT #1,234,2256
VIEWMONT #2,221,2280
WACO,266,2971
WARDVILLE,75,842
WARNE,51,771
WEST CHAPEL,315,3601
WEST EDENTON,233,2872
WEST NEWTON,146,1454
WEST PITTSBORO,425,5293
WEST SILER CITY,315,2309
WEST WILLIAMS,379,5724
WILDWOOD,264,3089
WIREGRASS/HARLOWE,164,1846
YANCEYVILLE,141,1821
YEOPIM,97,1395
ABBOTTS CREEK 1 #86A,369,3334
ABBOTTS CREEK 2 #88,223,2451
ALDERMAN1,173,1664
ALDERMAN2,263,2194
ALDERMAN3,148,1496
ARCADIA #04,525,5996
ARRAN HILLS,249,2697
AUMAN-1-G5,292,2283
AUMAN-2-G5,181,2029
AVON,45,818
BEAVER DAM-G6,102,1071
BLACK RIVER-G7,122,1182
BOGUE CREEK,226,2350
BOLTON,93,894
BOONE #06,361,3116
BRENTWOOD-G5,206,1841
BRICES CREEK,332,3557
BRIDGETON,179,2543
BUXTON,110,1124
CAROVA BEACH,14,266
CEDAR CREEK-G6,170,1764
CENTRAL #08,93,993
CERRO GORDO,54,775
CHADBOURN,285,2698
CHERRY BLUFF,141,1338
CHICAMACOMICO,53,726
CLARKS-RHEMS,232,2735
CLIFFDALE WEST-1-CL57,239,2730
CLIFFDALE WEST-2-CL57,292,2727
COINJOCK,88,968
COLINGTON,288,3496
COTTON GROVE  #10,250,2508
COVE-FORT BARNWELL,122,1358
CROATAN,216,2344
CROSS CREEK 01,198,1905
CROSS CREEK 02-G1,213,1932
CROSS CREEK 03,187,1512
CROSS CREEK 04,96,1010
CROSS CREEK 06,76,1019
CROSS CREEK 07,64,906
CROSS CREEK 08,116,1261
CROSS CREEK 09-G2,387,3801
CROSS CREEK 10,95,938
CROSS CREEK 11-G3,110,1109
CROSS CREEK 12,136,1557
CROSS CREEK 13,695,1621
CROSS CREEK 14,230,2316
CROSS CREEK 15,176,2201
CROSS CREEK 16,144,1550
CROSS CREEK 17,213,1995
CROSS CREEK 18,127,1395
CROSS CREEK 20-G4,131,1499
CROSS CREEK 21,322,2901
CROSS CREEK 22,443,3660
CROSS CREEK 23-1-G2,276,2644
CROSS CREEK 23-2,312,2503
CROSS CREEK 24,157,1261
CROSS CREEK 25,159,1605
CROSS CREEK 26,324,2869
CROSS CREEK 27,390,3285
CROSS CREEK 28-1-G5,330,2652
CROSS CREEK 28-2-G5,196,1974
CROSS CREEK 29,210,1738
CROSS CREEK 30-G4,136,1317
CROSS CREEK 31,174,1700
CROSS CREEK 32,151,1136
CROSS CREEK 33,194,2037
CROSS CREEK 34,173,1804
CROSS CREEK 519,256,2371
CUMBERLAND 1A-G8,422,2634
CUMBERLAND 2,152,1576
