precinct_id,registered_rep,voted_rep_2024,rep_turnout,registered_dem,voted_dem_2024,dem_turnout,registered_una,voted_una_2024,una_turnout,rep_minus_dem,rep_minus_una,dem_minus_una
AVERY_11,259,202,0.7799227799227799,65,54,0.8307692307692308,197,138,0.700507614213198,-0.0508464508464509,0.07941516570958196,0.13026161655603286
AVERY_12,160,132,0.825,10,7,0.7,79,57,0.7215189873417721,0.125,0.10348101265822784,-0.021518987341772156
AVERY_13,318,237,0.7452830188679245,58,48,0.8275862068965517,165,117,0.7090909090909091,-0.08230318802862724,0.03619210977701537,0.11849529780564261
AVERY_14,531,423,0.7966101694915254,65,38,0.5846153846153846,303,208,0.6864686468646864,0.21199478487614076,0.11014152262683896,-0.1018532622493018
AVERY_15,475,388,0.8168421052631579,78,48,0.6153846153846154,216,148,0.6851851851851852,0.2014574898785425,0.1316569200779727,-0.06980056980056981
AVERY_16,789,584,0.7401774397972116,184,140,0.7608695652173914,571,425,0.7443082311733801,-0.02069212542017973,-0.004130791376168452,0.016561334044011278
AVERY_17,371,302,0.8140161725067385,24,18,0.75,162,111,0.6851851851851852,0.06401617250673852,0.1288309873215533,0.06481481481481477
AVERY_18,211,177,0.8388625592417062,15,10,0.6666666666666666,118,86,0.7288135593220338,0.17219589257503953,0.11004899991967232,-0.062146892655367214
AVERY_19,190,146,0.7684210526315789,13,9,0.6923076923076923,66,49,0.7424242424242424,0.0761133603238866,0.025996810207336463,-0.05011655011655014
BEAUFORT_AUROR,299,242,0.8093645484949833,403,301,0.7468982630272953,312,212,0.6794871794871795,0.062466285467687954,0.12987736900780378,0.06741108354011582
BEAUFORT_BEADM,914,788,0.862144420131291,243,191,0.7860082304526749,610,471,0.7721311475409836,0.07613618967861613,0.09001327259030745,0.013877082911691319
BEAUFORT_BELHV,559,453,0.8103756708407871,506,353,0.6976284584980237,396,270,0.6818181818181818,0.11274721234276341,0.12855748902260533,0.015810276679841917
BEAUFORT_BLCK,378,326,0.8624338624338624,241,208,0.8630705394190872,269,206,0.7657992565055762,-0.0006366769852247378,0.09663460592828621,0.09727128291351095
BEAUFORT_CHOCO,1578,1265,0.8016476552598225,964,711,0.7375518672199171,1412,919,0.6508498583569405,0.06409578803990545,0.15079779690288198,0.08670200886297652
BEAUFORT_EDWAR,377,308,0.8169761273209549,287,221,0.7700348432055749,285,193,0.6771929824561403,0.04694128411538001,0.13978314486481458,0.09284186074943457
