precinct_id,registered_total,registered_youth,voted_total_2024,voted_youth_2024,turnout_total,turnout_youth,turnout_gap,youth_share,youth_potential,nonvoting_youth
ALEXANDER_LRSL,1862,181,1542,94,0.8281417830290011,0.5193370165745856,0.30880476645441546,0.09720730397422127,0.48066298342541436,87
ALEXANDER_M,1837,213,1388,102,0.7555797495917257,0.4788732394366197,0.276706510155106,0.11594991834512793,0.5211267605633803,111
ALEXANDER_S1S2,2810,287,2125,123,0.7562277580071174,0.42857142857142855,0.32765632943568884,0.10213523131672597,0.5714285714285714,164
ALEXANDER_T1T4T5,3948,370,3006,175,0.7613981762917933,0.47297297297297297,0.2884252033188203,0.09371833839918946,0.527027027027027,195
ALEXANDER_T2T3,2809,266,2133,126,0.7593449626201495,0.47368421052631576,0.28566075209383374,0.09469562121751512,0.5263157894736842,140
ALEXANDER_W,1835,162,1522,87,0.8294277929155314,0.5370370370370371,0.2923907558784943,0.088283378746594,0.46296296296296297,75
ALLEGHANY_01,1372,80,1089,36,0.793731778425656,0.45,0.343731778425656,0.05830903790087463,0.55,44
ALLEGHANY_03A,3707,285,2843,125,0.7669274345832209,0.43859649122807015,0.32833094335515073,0.07688157539789588,0.5614035087719298,160
ALLEGHANY_04,1458,119,1130,58,0.7750342935528121,0.48739495798319327,0.2876393355696188,0.08161865569272976,0.5126050420168067,61
ALLEGHANY_06A,1679,110,1364,55,0.8123883263847528,0.5,0.3123883263847528,0.06551518761167362,0.5,55
ANSON_ANS,1031,91,782,45,0.7584869059165859,0.4945054945054945,0.2639814114110913,0.08826382153249272,0.5054945054945055,46
ANSON_BURN,1417,130,1101,67,0.7769936485532816,0.5153846153846153,0.26160903316866624,0.09174311926605505,0.4846153846153846,63
ANSON_GULL,1044,93,730,27,0.6992337164750958,0.2903225806451613,0.4089111358299345,0.08908045977011494,0.7096774193548387,66
ANSON_LILE,2229,193,1606,81,0.7205024674742037,0.41968911917098445,0.3008133483032192,0.08658591296545536,0.5803108808290155,112
ANSON_MM,1167,111,788,39,0.675235646958012,0.35135135135135137,0.3238842956066606,0.09511568123393316,0.6486486486486487,72
ANSON_PEAC,1318,125,1004,56,0.7617602427921093,0.448,0.3137602427921093,0.09484066767830046,0.552,69
ANSON_POLK,937,101,607,38,0.647812166488794,0.37623762376237624,0.2715745427264178,0.10779082177161152,0.6237623762376238,63
ANSON_WADES,6492,546,3903,204,0.6012014787430684,0.37362637362637363,0.22757510511669476,0.08410351201478743,0.6263736263736264,342
ANSON_WS,348,34,253,19,0.7270114942528736,0.5588235294117647,0.16818796484110887,0.09770114942528736,0.4411764705882353,15
ASHE_02,1265,113,981,57,0.775494071146245,0.504424778761062,0.27106929238518307,0.08932806324110672,0.49557522123893805,56
ASHE_03,488,38,374,11,0.7663934426229508,0.2894736842105263,0.4769197584124245,0.0778688524590164,0.7105263157894737,27
ASHE_04,508,33,407,14,0.8011811023622047,0.42424242424242425,0.3769386781197805,0.06496062992125984,0.5757575757575758,19
ASHE_06,493,39,383,14,0.7768762677484787,0.358974358974359,0.41790190877411976,0.07910750507099391,0.6410256410256411,25
ASHE_07,369,31,281,10,0.7615176151761518,0.3225806451612903,0.4389369700148615,0.08401084010840108,0.6774193548387096,21
ASHE_08,209,14,157,7,0.7511961722488039,0.5,0.25119617224880386,0.06698564593301436,0.5,7
ASHE_09,3576,298,2735,129,0.764821029082774,0.43288590604026844,0.3319351230425056,0.08333333333333333,0.5671140939597316,169
ASHE_10,242,23,170,6,0.7024793388429752,0.2608695652173913,0.4416097736255839,0.09504132231404959,0.7391304347826086,17
ASHE_11,2051,175,1634,81,0.7966845441248172,0.46285714285714286,0.3338274012676743,0.08532423208191127,0.5371428571428571,94
ASHE_12,631,36,498,14,0.7892234548335975,0.3888888888888889,0.40033456594470856,0.05705229793977813,0.6111111111111112,22
ASHE_13,1217,83,968,41,0.7953985209531635,0.4939759036144578,0.30142261733870573,0.06820049301561217,0.5060240963855421,42
ASHE_14,2362,157,1931,70,0.8175275190516511,0.445859872611465,0.37166764644018613,0.06646909398814564,0.554140127388535,87
ASHE_15,950,57,746,30,0.7852631578947369,0.5263157894736842,0.2589473684210527,0.06,0.47368421052631576,27
ASHE_16,2278,161,1831,77,0.8037752414398596,0.4782608695652174,0.32551437187464216,0.07067603160667252,0.5217391304347826,84
ASHE_17,796,66,600,29,0.7537688442211056,0.4393939393939394,0.3143749048271662,0.0829145728643216,0.5606060606060606,37
ASHE_18,157,10,112,4,0.7133757961783439,0.4,0.3133757961783439,0.06369426751592357,0.6,6
ASHE_20,3132,245,2352,99,0.7509578544061303,0.40408163265306124,0.34687622175306904,0.07822477650063857,0.5959183673469388,146
AVERY_01,953,89,744,45,0.7806925498426023,0.5056179775280899,0.2750745723145124,0.09338929695697797,0.4943820224719101,44
AVERY_02,2436,188,1702,84,0.6986863711001642,0.44680851063829785,0.25187786046186633,0.07717569786535304,0.5531914893617021,104
AVERY_03,461,30,367,17,0.7960954446854663,0.5666666666666667,0.22942877801879968,0.0650759219088937,0.43333333333333335,13
AVERY_04,104,9,83,6,0.7980769230769231,0.6666666666666666,0.1314102564102565,0.08653846153846154,0.3333333333333333,3
AVERY_05,333,28,258,15,0.7747747747747747,0.5357142857142857,0.23906048906048905,0.08408408408408409,0.4642857142857143,13
AVERY_06,799,67,571,28,0.7146433041301627,0.417910447761194,0.29673285636896873,0.08385481852315395,0.582089552238806,39
AVERY_07,229,26,181,11,0.7903930131004366,0.4230769230769231,0.36731609002351356,0.11353711790393013,0.5769230769230769,15
AVERY_08,331,25,261,13,0.7885196374622356,0.52,0.2685196374622356,0.0755287009063444,0.48,12
AVERY_09,316,24,255,13,0.8069620253164557,0.5416666666666666,0.26529535864978904,0.0759493670886076,0.4583333333333333,11
AVERY_10,788,66,614,31,0.7791878172588832,0.4696969696969697,0.3094908475619135,0.08375634517766498,0.5303030303030303,35
AVERY_11,524,32,394,14,0.7519083969465649,0.4375,0.31440839694656486,0.061068702290076333,0.5625,18
AVERY_12,251,11,196,8,0.7808764940239044,0.7272727272727273,0.05360376675117706,0.043824701195219126,0.2727272727272727,3
AVERY_13,542,42,402,18,0.7416974169741697,0.42857142857142855,0.31312598840274114,0.07749077490774908,0.5714285714285714,24
AVERY_14,902,80,670,29,0.7427937915742794,0.3625,0.3802937915742794,0.08869179600886919,0.6375,51
AVERY_15,771,63,585,28,0.7587548638132295,0.4444444444444444,0.3143104193687851,0.08171206225680934,0.5555555555555556,35
AVERY_16,1555,72,1156,32,0.7434083601286173,0.4444444444444444,0.2989639156841729,0.04630225080385852,0.5555555555555556,40
AVERY_17,560,64,434,30,0.775,0.46875,0.30625,0.11428571428571428,0.53125,34
AVERY_18,346,32,274,13,0.791907514450867,0.40625,0.38565751445086704,0.09248554913294797,0.59375,19
AVERY_19,270,21,204,9,0.7555555555555555,0.42857142857142855,0.326984126984127,0.07777777777777778,0.5714285714285714,12
BEAUFORT_AUROR,1017,74,758,25,0.7453294001966568,0.33783783783783783,0.407491562358819,0.0727630285152409,0.6621621621621622,49
BEAUFORT_BEADM,1770,170,1453,81,0.8209039548022599,0.4764705882352941,0.34443336656696577,0.096045197740113,0.5235294117647059,89
BEAUFORT_BELHV,1468,114,1079,44,0.7350136239782016,0.38596491228070173,0.34904871169749985,0.0776566757493188,0.6140350877192983,70
BEAUFORT_BLCK,892,54,744,29,0.8340807174887892,0.5370370370370371,0.2970436804517521,0.06053811659192825,0.46296296296296297,25
BEAUFORT_CHOCO,3970,448,2904,167,0.7314861460957179,0.37276785714285715,0.3587182889528608,0.1128463476070529,0.6272321428571429,281
BEAUFORT_EDWAR,952,76,725,35,0.7615546218487395,0.4605263157894737,0.3010283060592658,0.07983193277310924,0.5394736842105263,41
BEAUFORT_GILEA,2236,111,1838,54,0.8220035778175313,0.4864864864864865,0.3355170913310448,0.04964221824686941,0.5135135135135135,57
BEAUFORT_HB,793,82,634,36,0.7994955863808323,0.43902439024390244,0.36047119613692985,0.1034047919293821,0.5609756097560976,46
BEAUFORT_NCRK,1439,94,1218,53,0.846421125781793,0.5638297872340425,0.2825913385477504,0.06532314107018763,0.43617021276595747,41
BEAUFORT_OLDF,1614,137,1267,68,0.7850061957868649,0.49635036496350365,0.28865583082336127,0.0848822800495663,0.5036496350364964,69
BEAUFORT_PANTE,1058,112,808,46,0.7637051039697542,0.4107142857142857,0.3529908182554685,0.10586011342155009,0.5892857142857143,66
BEAUFORT_PINET,844,86,699,51,0.8281990521327014,0.5930232558139535,0.23517579631874785,0.1018957345971564,0.4069767441860465,35
BEAUFORT_PSJW3,1428,136,904,48,0.6330532212885154,0.35294117647058826,0.2801120448179271,0.09523809523809523,0.6470588235294118,88
BEAUFORT_RVRD,2054,206,1608,89,0.7828627069133398,0.4320388349514563,0.3508238719618835,0.1002921129503408,0.5679611650485437,117
BEAUFORT_SURBA,1998,146,1679,73,0.8403403403403403,0.5,0.34034034034034033,0.07307307307307308,0.5,73
BEAUFORT_TCRK,2392,254,1871,117,0.782190635451505,0.46062992125984253,0.3215607141916625,0.10618729096989966,0.5393700787401575,137
BEAUFORT_WASH1,1540,121,1075,43,0.698051948051948,0.35537190082644626,0.34268004722550177,0.07857142857142857,0.6446280991735537,78
BEAUFORT_WASH2,1520,123,1003,39,0.6598684210526315,0.3170731707317073,0.3427952503209242,0.08092105263157895,0.6829268292682927,84
BEAUFORT_WASH4,2134,200,1606,91,0.7525773195876289,0.455,0.29757731958762884,0.09372071227741331,0.545,109
BEAUFORT_WASHP,1195,114,964,54,0.8066945606694561,0.47368421052631576,0.33301035014314034,0.09539748953974896,0.5263157894736842,60
BEAUFORT_WDPD,1578,150,1264,64,0.8010139416983524,0.4266666666666667,0.3743472750316857,0.09505703422053231,0.5733333333333334,86
BERTIE_C1,847,61,623,24,0.7355371900826446,0.39344262295081966,0.34209456713182496,0.07201889020070838,0.6065573770491803,37
BERTIE_C2,1240,75,912,27,0.7354838709677419,0.36,0.37548387096774194,0.06048387096774194,0.64,48
BERTIE_IW,327,39,233,14,0.7125382262996942,0.358974358974359,0.35356386732533523,0.11926605504587157,0.6410256410256411,25
BERTIE_M1,710,54,539,23,0.7591549295774648,0.42592592592592593,0.33322900365153885,0.07605633802816901,0.5740740740740741,31
BERTIE_M2,768,71,489,18,0.63671875,0.2535211267605634,0.3831976232394366,0.09244791666666667,0.7464788732394366,53
BERTIE_MH,801,60,582,21,0.7265917602996255,0.35,0.3765917602996255,0.0749063670411985,0.65,39
BERTIE_RX,1091,104,736,29,0.6746104491292392,0.27884615384615385,0.3957642952830853,0.09532538955087076,0.7211538461538461,75
BERTIE_SN,805,71,550,23,0.6832298136645962,0.323943661971831,0.35928615169276523,0.08819875776397515,0.676056338028169,48
BERTIE_W1,3611,340,2532,109,0.7011908058709498,0.3205882352941177,0.38060257057683217,0.09415674328440875,0.6794117647058824,231
BERTIE_W2,653,62,554,41,0.8483920367534457,0.6612903225806451,0.18710171417280053,0.09494640122511486,0.3387096774193548,21
BERTIE_WD,783,71,493,14,0.6296296296296297,0.19718309859154928,0.4324465310380804,0.09067688378033206,0.8028169014084507,57
BERTIE_WH,1029,66,790,27,0.7677356656948494,0.4090909090909091,0.3586447566039403,0.0641399416909621,0.5909090909090909,39
BLADEN_P10,661,78,489,29,0.7397881996974282,0.3717948717948718,0.36799332790255634,0.11800302571860817,0.6282051282051282,49
